Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,YearMonth
1981-06-02,Bajang,29.6,81.2,0.14,67.88,6.89,59.93,10.24,2.51,16.67,4.67,11.99,11.72,2.81,6.06,0.86,5.2,2.84,5.47,1.09,4.38,1981,6,1981-06
1981-05-07,Bajang,29.6,81.2,0.45,68.08,6.59,69.85,7.38,1.75,13.22,2.7,10.52,8.69,2.34,5.18,0.34,4.85,2.23,4.45,0.44,4.01,1981,5,1981-05
1981-07-13,Banke,28.1,81.7,26.57,91.64,18.54,83.4,25.35,22.26,28.16,22.59,5.57,25.39,2.25,3.89,0.28,3.61,2.94,4.4,0.49,3.91,1981,7,1981-07
1981-02-03,Banke,28.1,81.7,0.42,92.97,4.78,50.5,12.08,1.84,18.83,7.2,11.62,9.94,1.94,3.16,0.4,2.76,2.38,3.55,0.44,3.1,1981,2,1981-02
1981-01-16,Banke,28.1,81.7,0.0,93.25,4.38,42.75,13.32,0.75,19.55,8.88,10.67,9.42,1.47,2.83,0.2,2.63,1.66,2.56,0.23,2.33,1981,1,1981-01
1981-11-06,Banke,28.1,81.7,0.0,92.61,8.23,60.16,17.72,9.72,23.49,13.84,9.65,15.53,1.68,3.04,0.48,2.56,2.01,3.19,0.35,2.85,1981,11,1981-11
1981-02-27,Banke,28.1,81.7,0.02,92.53,5.46,39.17,18.02,3.77,25.47,13.46,12.01,17.15,2.68,5.18,1.05,4.13,3.7,5.81,1.36,4.45,1981,2,1981-02
1981-07-03,Banke,28.1,81.7,17.4,91.2,19.88,79.38,27.3,23.3,31.79,24.38,7.41,27.42,2.61,4.72,0.67,4.05,3.66,5.97,1.04,4.93,1981,7,1981-07
1981-03-18,Banke,28.1,81.7,0.05,92.25,6.63,40.52,20.54,6.61,28.88,13.23,15.66,19.88,2.88,5.68,1.71,3.97,3.67,6.06,2.29,3.77,1981,3,1981-03
1981-04-30,Banke,28.1,81.7,0.0,92.28,6.68,27.61,27.08,6.68,34.61,20.42,14.19,26.85,2.33,4.07,0.81,3.25,2.98,4.54,0.96,3.58,1981,4,1981-04
1981-06-02,Banke,28.1,81.7,3.44,91.69,10.88,39.28,29.21,13.8,36.05,22.25,13.8,29.77,2.73,5.09,0.85,4.24,3.53,5.51,0.76,4.75,1981,6,1981-06
1981-05-07,Banke,28.1,81.7,4.98,92.27,11.6,51.52,25.78,14.89,30.33,20.69,9.64,26.21,1.76,2.73,0.71,2.02,2.27,3.98,0.93,3.06,1981,5,1981-05
1981-07-13,Bara,27.2,85.0,10.08,94.48,20.19,80.14,27.99,24.16,32.03,24.34,7.7,28.29,2.02,3.26,0.6,2.65,3.06,4.26,0.66,3.6,1981,7,1981-07
1981-02-03,Bara,27.2,85.0,0.01,96.0,5.15,49.61,13.98,3.52,21.74,8.75,13.0,13.23,2.05,3.54,0.95,2.6,2.82,4.43,1.4,3.03,1981,2,1981-02
1981-01-16,Bara,27.2,85.0,0.0,96.3,3.91,35.88,14.78,-0.28,23.64,8.85,14.78,12.43,1.91,2.86,0.3,2.56,2.67,3.82,0.38,3.44,1981,1,1981-01
1981-11-06,Bara,27.2,85.0,0.0,95.6,9.96,67.91,19.31,13.18,25.02,15.48,9.54,18.76,1.58,2.72,0.44,2.28,2.08,3.5,0.54,2.96,1981,11,1981-11
1981-02-27,Bara,27.2,85.0,0.0,95.46,5.14,31.44,21.08,3.34,28.66,16.36,12.3,20.23,2.65,5.48,0.32,5.17,3.85,6.18,0.4,5.78,1981,2,1981-02
1981-07-03,Bara,27.2,85.0,34.95,94.22,18.97,84.45,25.99,23.14,28.24,23.63,4.6,26.08,2.43,4.62,0.54,4.08,3.31,5.49,0.88,4.61,1981,7,1981-07
1981-03-18,Bara,27.2,85.0,0.13,95.21,6.3,34.96,22.64,6.32,31.31,15.56,15.76,22.58,2.73,5.54,1.02,4.51,3.66,5.88,1.41,4.47,1981,3,1981-03
1981-04-30,Bara,27.2,85.0,0.44,95.22,8.16,32.4,28.26,10.04,35.15,21.03,14.12,28.15,2.34,3.97,0.46,3.51,2.92,4.16,0.7,3.46,1981,4,1981-04
1981-06-02,Bara,27.2,85.0,4.34,94.63,14.53,51.3,30.12,18.85,36.34,23.46,12.89,31.6,1.78,2.82,0.22,2.6,2.42,4.78,0.31,4.46,1981,6,1981-06
1981-05-07,Bara,27.2,85.0,2.28,95.16,12.26,47.03,28.8,16.26,33.76,23.56,10.2,30.03,1.58,2.68,0.38,2.3,2.04,2.97,0.6,2.37,1981,5,1981-05
